PassengerID,FName,LName,Gender,Age,Nationality
ABVWIg,Edithe,Leggis,Female,62,Japan
jkXXAX,Elwood,Catt,Male,62,Nicaragua
CdUz2g,Darby,Felgate,Male,67,Russia
BRS38V,Dominica,Pyle,Female,71,China
9kvTLo,Bay,Pencost,Male,21,China
nMJKVh,Lora,Durbann,Female,55,Brazil
8IPFPE,Rand,Bram,Male,73,Ivory Coast
pqixbY,Perceval,Dallosso,Male,36,Vietnam
QNAs2R,Aleda,Pigram,Female,35,Palestinian Territory
3jmudz,Burlie,Schustl,Male,13,Thailand
2P41gZ,Porty,Jori,Male,39,Tunisia
sBf524,Briant,De La Haye,Male,71,Russia
PlwJZT,Kalie,Scoble,Female,47,Sweden
iU75x3,Catriona,Beaument,Female,77,Russia
GUta6R,Amberly,Handling,Female,32,China
8qA80a,Dyna,De'Vere - Hunt,Female,22,China
2haCDu,Janella,Hardaker,Female,28,Colombia
WiVl8o,Alvin,Wenzel,Male,12,Greece
e0H5LI,Jerrine,Peeters,Female,87,Philippines
nL8kyD,Warner,Driutti,Male,62,China
9iT79e,Paige,Hayhow,Male,24,Sweden
kEARqP,Dorisa,Skill,Female,19,Ukraine
dx3NWh,Bobbye,Patmore,Female,45,China
Dpafly,Jayme,Dairton,Female,29,Indonesia
WV3aXu,Sayre,Stroyan,Male,87,Indonesia
f27tyG,Joellyn,Stutter,Female,8,Croatia
g2jtbv,Julietta,Delahunt,Female,14,Democratic Republic of the Congo
KQmI30,Halie,Jewar,Female,53,France
uoKrdd,Jessamyn,Buddles,Female,6,Peru
BhLqLM,Clevie,Clubbe,Male,35,China
jy543k,Magdalen,Claiden,Female,14,China
ow3B76,Celina,Boothebie,Female,58,Latvia
sP3mCk,Murvyn,Duff,Male,19,Germany
yewgFO,Lyndsie,Dyball,Female,22,Czech Republic
m3EzMU,Ashlie,Rotham,Female,44,Ireland
L0fKMv,Gardiner,Ferbrache,Male,9,Sweden
CCMELG,Rudolph,Housbie,Male,74,Iran
xzTlBZ,Dun,Craythorn,Male,32,China
HKk0Wz,Dasha,Eppson,Female,37,Indonesia
HyzgMb,Bibby,Evershed,Female,73,Indonesia
m0Y9PX,Ransom,Chippindale,Male,54,Peru
Dp1Yk1,Zelig,Brinded,Male,61,Brazil
